radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
1.5	1	15.0	uniform	45.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	uniform	45.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	uniform	45.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	uniform	45.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	uniform	55.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	uniform	55.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	uniform	55.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	top_draggy	45.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	top_draggy	45.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	top_draggy	45.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	top_draggy	45.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	45.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	45.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	45.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	45.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	55.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	55.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	bottom_lifty	55.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	graded	45.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	graded	45.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	graded	45.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	graded	45.0	12.0	8.489004398844378	9.549296585513721	1.5
1.5	1	15.0	graded	55.0	6.0	0.0	9.549296585513721	1.5
1.5	1	15.0	graded	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	graded	55.0	10.0	2.1420510647273474	9.549296585513721	1.5
1.5	1	15.0	graded	55.0	12.0	8.489004398844378	9.549296585513721	1.5
