radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem	PC1	PC2	PC3
1.5	1	15.0	uniform	45.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.79039456684958	0.36505791454637276	-1.1910943342894096
1.5	1	15.0	uniform	45.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8286594426421754	1.137128613929334	-1.1180470682821648
1.5	1	15.0	uniform	55.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.792235694427882	0.36117798262552386	-1.4108068800945406
1.5	1	15.0	uniform	55.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8305005702204773	1.133248682008485	-1.3377596140872958
1.5	1	15.0	top_draggy	45.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.7827403868540244	0.37002522173548624	-1.189227777006884
1.5	1	15.0	top_draggy	45.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8210052626466195	1.1420959211184474	-1.1161805109996392
1.5	1	15.0	top_draggy	55.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.7845815144323263	0.36614528981463734	-1.408940322812015
1.5	1	15.0	top_draggy	55.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8228463902249215	1.1382159891975985	-1.3358930568047702
1.5	1	15.0	bottom_lifty	45.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.784540969448648	0.3688256275604939	-1.189682804105699
1.5	1	15.0	bottom_lifty	45.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.822805845241243	1.140896326943455	-1.1166355380984543
1.5	1	15.0	bottom_lifty	55.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.7863820970269497	0.364945695639645	-1.40939534991083
1.5	1	15.0	bottom_lifty	55.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.824646972819545	1.1370163950226062	-1.3363480839035853
1.5	1	15.0	graded	45.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.7824127697323324	0.3702501073846189	-1.1891404334192563
1.5	1	15.0	graded	45.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8206776455249276	1.14232080676758	-1.1160931674120116
1.5	1	15.0	graded	55.0	10.0	2.1420510647273474	9.54929658551372	1.5	-2.7842538973106343	0.36637017546377	-1.4088529792243873
1.5	1	15.0	graded	55.0	12.0	8.489004398844378	9.54929658551372	1.5	-2.8225187731032295	1.1384408748467312	-1.3358057132171426
1.5	2	15.0	uniform	45.0	10.0	4.284102129454695	9.54929658551372	1.5	-2.7798722286945674	0.2072167084268349	-0.3133745067630418
