radius	n_rotors	spacing	profile	elevation	wind_speed	anchor_tension	autorotation_rpm	tip_speed_bem
1.5	1	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	uniform	55.0	12.0	16.85425663169083	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	1	15.0	top_draggy	55.0	12.0	16.85425663169083	9.549296585513721	1.5
1.5	2	15.0	uniform	55.0	8.0	0.0	9.549296585513721	1.5
1.5	2	15.0	uniform	55.0	12.0	42.532592689553866	9.549296585513721	1.5
1.5	2	15.0	top_draggy	55.0	8.0	0.0	9.549296585513721	1.5
1.5	2	15.0	top_draggy	55.0	12.0	39.9835021531066	9.549296585513721	1.5
3.0	1	15.0	uniform	55.0	8.0	56.93814227347136	73.65779819817135	23.14027976989746
3.0	1	15.0	uniform	55.0	12.0	114.42608398154347	104.52176559822038	32.83648109436035
3.0	1	15.0	top_draggy	55.0	8.0	56.93814227347136	73.65779819817135	23.14027976989746
3.0	1	15.0	top_draggy	55.0	12.0	114.42608398154347	104.52176559822038	32.83648109436035
3.0	2	15.0	uniform	55.0	8.0	245.41916994655207	73.65779819817135	23.14027976989746
3.0	2	15.0	uniform	55.0	12.0	550.4873227805873	104.52176559822038	32.83648109436035
3.0	2	15.0	top_draggy	55.0	8.0	275.69188002433475	83.97324165634484	26.380971908569336
3.0	2	15.0	top_draggy	55.0	12.0	588.1827369544061	120.94798806150753	37.996931076049805
