wind_speed,distance_from_anchor,tension
4.0,60.0,0.0
4.0,45.0,295.2789269625102
4.0,30.0,583.7174080845106
4.0,15.0,865.3154433660011
4.0,0.0,1136.1642066124048
6.0,60.0,0.0
6.0,45.0,706.1466773930993
6.0,30.0,1396.9023516450516
6.0,15.0,2072.2670227558565
6.0,0.0,2723.445831787716
8.0,60.0,0.0
8.0,45.0,1281.361527995924
8.0,30.0,2535.361272629809
8.0,15.0,3761.9992339016544
8.0,0.0,4945.640107033152
10.0,60.0,0.0
10.0,45.0,2020.9234787709845
10.0,30.0,3999.0941710387824
10.0,15.0,5934.512076803394
10.0,0.0,7802.747032348713
12.0,60.0,0.0
12.0,45.0,2924.83252971828
12.0,30.0,5788.101046871972
12.0,15.0,8589.805551461075
12.0,0.0,11294.766607734397
14.0,60.0,0.0
14.0,45.0,3993.0886808378123
14.0,30.0,7902.38190012938
14.0,15.0,11727.879657874702
14.0,0.0,15421.69883319021
16.0,60.0,0.0
16.0,45.0,5225.69193212958
16.0,30.0,10341.936730811003
16.0,15.0,15348.73439604427
16.0,0.0,20183.543708716148
