wind_speed,distance_from_anchor,tension
4.0,60.0,0.0
4.0,45.0,16.62673719706102
4.0,30.0,42.736643904133075
4.0,15.0,72.43281741004371
4.0,0.0,106.04865486198389
6.0,60.0,0.0
6.0,45.0,80.21575189607502
6.0,30.0,166.46908684699017
6.0,15.0,255.27866571032345
6.0,0.0,350.83607288050746
8.0,60.0,0.0
8.0,45.0,148.3847025840482
8.0,30.0,305.6017783440667
8.0,15.0,470.07582985171655
8.0,0.0,642.3552857181451
10.0,60.0,0.0
10.0,45.0,232.00307710778387
10.0,30.0,470.31994422261096
10.0,15.0,723.7409517778298
10.0,0.0,989.0756090993875
12.0,60.0,0.0
12.0,45.0,321.6777904527885
12.0,30.0,665.0703128987977
12.0,15.0,1042.4233536676966
12.0,0.0,1436.7993085238068
14.0,60.0,0.0
14.0,45.0,446.2417277157423
14.0,30.0,898.9645709538521
14.0,15.0,1381.5367707804921
14.0,0.0,1893.0800519581744
16.0,60.0,0.0
16.0,45.0,553.3410455985879
16.0,30.0,1109.0632367916924
16.0,15.0,1697.3006151739057
16.0,0.0,2307.880090853908
