radius	n_rotors	profile	elevation	wind_speed	anchor_tension	iterations
1.5	1	uniform	45.0	6.0	0.0	2
1.5	1	uniform	45.0	8.0	0.0	2
1.5	1	uniform	45.0	10.0	0.0	2
1.5	1	uniform	45.0	12.0	5.046799349909449	20
1.5	1	uniform	55.0	6.0	0.0	2
1.5	1	uniform	55.0	8.0	0.0	2
1.5	1	uniform	55.0	10.0	0.0	2
1.5	1	uniform	55.0	12.0	5.046799349909449	20
1.5	1	top_draggy	45.0	6.0	0.0	2
1.5	1	top_draggy	45.0	8.0	0.0	2
1.5	1	top_draggy	45.0	10.0	0.0	2
1.5	1	top_draggy	45.0	12.0	5.046799349909449	20
1.5	1	top_draggy	55.0	6.0	0.0	2
1.5	1	top_draggy	55.0	8.0	0.0	2
1.5	1	top_draggy	55.0	10.0	0.0	2
1.5	1	top_draggy	55.0	12.0	5.046799349909449	20
1.5	1	bottom_lifty	45.0	6.0	0.0	2
1.5	1	bottom_lifty	45.0	8.0	0.0	2
1.5	1	bottom_lifty	45.0	10.0	0.0	2
1.5	1	bottom_lifty	45.0	12.0	5.046799349909449	20
1.5	1	bottom_lifty	55.0	6.0	0.0	2
1.5	1	bottom_lifty	55.0	8.0	0.0	2
1.5	1	bottom_lifty	55.0	10.0	0.0	2
1.5	1	bottom_lifty	55.0	12.0	5.046799349909449	20
1.5	1	graded	45.0	6.0	0.0	2
1.5	1	graded	45.0	8.0	0.0	2
1.5	1	graded	45.0	10.0	0.0	2
1.5	1	graded	45.0	12.0	5.046799349909449	20
1.5	1	graded	55.0	6.0	0.0	2
1.5	1	graded	55.0	8.0	0.0	2
1.5	1	graded	55.0	10.0	0.0	2
1.5	1	graded	55.0	12.0	5.046799349909449	20
1.5	2	uniform	45.0	6.0	0.0	2
1.5	2	uniform	45.0	8.0	0.0	3
1.5	2	uniform	45.0	10.0	0.0	3
1.5	2	uniform	45.0	12.0	18.95753455043011	20
1.5	2	uniform	55.0	6.0	0.0	3
1.5	2	uniform	55.0	8.0	0.0	3
1.5	2	uniform	55.0	10.0	0.0	3
1.5	2	uniform	55.0	12.0	18.957534550360876	20
1.5	2	top_draggy	45.0	6.0	0.0	2
1.5	2	top_draggy	45.0	8.0	0.0	3
1.5	2	top_draggy	45.0	10.0	0.0	3
1.5	2	top_draggy	45.0	12.0	18.95753455043011	20
1.5	2	top_draggy	55.0	6.0	0.0	3
1.5	2	top_draggy	55.0	8.0	0.0	3
1.5	2	top_draggy	55.0	10.0	0.0	3
1.5	2	top_draggy	55.0	12.0	18.957534550360876	20
1.5	2	bottom_lifty	45.0	6.0	0.0	2
1.5	2	bottom_lifty	45.0	8.0	0.0	3
1.5	2	bottom_lifty	45.0	10.0	0.0	3
1.5	2	bottom_lifty	45.0	12.0	18.95753455043011	20
1.5	2	bottom_lifty	55.0	6.0	0.0	3
1.5	2	bottom_lifty	55.0	8.0	0.0	3
1.5	2	bottom_lifty	55.0	10.0	0.0	3
1.5	2	bottom_lifty	55.0	12.0	18.957534550360876	20
1.5	2	graded	45.0	6.0	0.0	2
1.5	2	graded	45.0	8.0	0.0	3
1.5	2	graded	45.0	10.0	0.0	3
1.5	2	graded	45.0	12.0	18.95753455043011	20
1.5	2	graded	55.0	6.0	0.0	3
1.5	2	graded	55.0	8.0	0.0	3
1.5	2	graded	55.0	10.0	0.0	3
1.5	2	graded	55.0	12.0	18.957534550360876	20
1.5	3	uniform	45.0	6.0	0.0	3
1.5	3	uniform	45.0	8.0	0.0	3
1.5	3	uniform	45.0	10.0	0.0	3
1.5	3	uniform	45.0	12.0	35.47962287888383	20
1.5	3	uniform	55.0	6.0	0.0	3
1.5	3	uniform	55.0	8.0	0.0	3
1.5	3	uniform	55.0	10.0	0.0	3
1.5	3	uniform	55.0	12.0	35.47962287879442	20
1.5	3	top_draggy	45.0	6.0	0.0	3
1.5	3	top_draggy	45.0	8.0	0.0	3
1.5	3	top_draggy	45.0	10.0	0.0	3
1.5	3	top_draggy	45.0	12.0	35.47962287888383	20
1.5	3	top_draggy	55.0	6.0	0.0	3
1.5	3	top_draggy	55.0	8.0	0.0	3
1.5	3	top_draggy	55.0	10.0	0.0	3
1.5	3	top_draggy	55.0	12.0	35.47962287879442	20
1.5	3	bottom_lifty	45.0	6.0	0.0	3
1.5	3	bottom_lifty	45.0	8.0	0.0	3
1.5	3	bottom_lifty	45.0	10.0	0.0	3
1.5	3	bottom_lifty	45.0	12.0	35.47962287888383	20
1.5	3	bottom_lifty	55.0	6.0	0.0	3
1.5	3	bottom_lifty	55.0	8.0	0.0	3
1.5	3	bottom_lifty	55.0	10.0	0.0	3
1.5	3	bottom_lifty	55.0	12.0	35.47962287879442	20
1.5	3	graded	45.0	6.0	0.0	3
1.5	3	graded	45.0	8.0	0.0	3
1.5	3	graded	45.0	10.0	0.0	3
1.5	3	graded	45.0	12.0	35.47962287888383	20
1.5	3	graded	55.0	6.0	0.0	3
1.5	3	graded	55.0	8.0	0.0	3
1.5	3	graded	55.0	10.0	0.0	3
1.5	3	graded	55.0	12.0	35.47962287879442	20
1.5	4	uniform	45.0	6.0	0.0	3
1.5	4	uniform	45.0	8.0	0.0	3
1.5	4	uniform	45.0	10.0	0.0	4
1.5	4	uniform	45.0	12.0	52.75309551334713	20
1.5	4	uniform	55.0	6.0	0.0	3
1.5	4	uniform	55.0	8.0	0.0	3
1.5	4	uniform	55.0	10.0	0.0	4
1.5	4	uniform	55.0	12.0	52.753095513250265	20
1.5	4	top_draggy	45.0	6.0	0.0	3
1.5	4	top_draggy	45.0	8.0	0.0	3
1.5	4	top_draggy	45.0	10.0	0.0	4
1.5	4	top_draggy	45.0	12.0	52.75309551334713	20
1.5	4	top_draggy	55.0	6.0	0.0	3
1.5	4	top_draggy	55.0	8.0	0.0	3
1.5	4	top_draggy	55.0	10.0	0.0	4
1.5	4	top_draggy	55.0	12.0	52.753095513250265	20
1.5	4	bottom_lifty	45.0	6.0	0.0	3
1.5	4	bottom_lifty	45.0	8.0	0.0	3
1.5	4	bottom_lifty	45.0	10.0	0.0	4
1.5	4	bottom_lifty	45.0	12.0	52.75309551334713	20
1.5	4	bottom_lifty	55.0	6.0	0.0	3
1.5	4	bottom_lifty	55.0	8.0	0.0	3
1.5	4	bottom_lifty	55.0	10.0	0.0	4
1.5	4	bottom_lifty	55.0	12.0	52.753095513250265	20
1.5	4	graded	45.0	6.0	0.0	3
1.5	4	graded	45.0	8.0	0.0	3
1.5	4	graded	45.0	10.0	0.0	4
1.5	4	graded	45.0	12.0	52.75309551334713	20
1.5	4	graded	55.0	6.0	0.0	3
1.5	4	graded	55.0	8.0	0.0	3
1.5	4	graded	55.0	10.0	0.0	4
1.5	4	graded	55.0	12.0	52.753095513250265	20
2.0	1	uniform	45.0	6.0	0.0	20
2.0	1	uniform	45.0	8.0	89.81358720328751	6
2.0	1	uniform	45.0	10.0	142.22451453925788	3
2.0	1	uniform	45.0	12.0	206.58309714009698	3
2.0	1	uniform	55.0	6.0	0.0	20
2.0	1	uniform	55.0	8.0	89.82984430061416	8
2.0	1	uniform	55.0	10.0	142.24744164827518	5
2.0	1	uniform	55.0	12.0	206.64999734998398	5
2.0	1	top_draggy	45.0	6.0	0.0	20
2.0	1	top_draggy	45.0	8.0	89.81358720328751	6
2.0	1	top_draggy	45.0	10.0	142.22451453925788	3
2.0	1	top_draggy	45.0	12.0	206.58309714009698	3
2.0	1	top_draggy	55.0	6.0	0.0	20
2.0	1	top_draggy	55.0	8.0	89.82984430061416	8
2.0	1	top_draggy	55.0	10.0	142.24744164827518	5
2.0	1	top_draggy	55.0	12.0	206.64999734998398	5
2.0	1	bottom_lifty	45.0	6.0	0.0	20
2.0	1	bottom_lifty	45.0	8.0	89.81358720328751	6
2.0	1	bottom_lifty	45.0	10.0	142.22451453925788	3
2.0	1	bottom_lifty	45.0	12.0	206.58309714009698	3
2.0	1	bottom_lifty	55.0	6.0	0.0	20
2.0	1	bottom_lifty	55.0	8.0	89.82984430061416	8
2.0	1	bottom_lifty	55.0	10.0	142.24744164827518	5
2.0	1	bottom_lifty	55.0	12.0	206.64999734998398	5
2.0	1	graded	45.0	6.0	0.0	20
2.0	1	graded	45.0	8.0	89.81358720328751	6
2.0	1	graded	45.0	10.0	142.22451453925788	3
2.0	1	graded	45.0	12.0	206.58309714009698	3
2.0	1	graded	55.0	6.0	0.0	20
2.0	1	graded	55.0	8.0	89.82984430061416	8
2.0	1	graded	55.0	10.0	142.24744164827518	5
2.0	1	graded	55.0	12.0	206.64999734998398	5
2.0	2	uniform	45.0	6.0	39.997359006102435	20
2.0	2	uniform	45.0	8.0	179.6655352600437	6
2.0	2	uniform	45.0	10.0	284.40284752597944	3
2.0	2	uniform	45.0	12.0	413.2199312246369	3
2.0	2	uniform	55.0	6.0	39.99573360705102	20
2.0	2	uniform	55.0	8.0	179.6852891516268	8
2.0	2	uniform	55.0	10.0	284.43138787791327	5
2.0	2	uniform	55.0	12.0	413.2787213651594	5
2.0	2	top_draggy	45.0	6.0	39.997359006102435	20
2.0	2	top_draggy	45.0	8.0	179.6655352600437	6
2.0	2	top_draggy	45.0	10.0	284.40284752597944	3
2.0	2	top_draggy	45.0	12.0	413.2199312246369	3
2.0	2	top_draggy	55.0	6.0	39.99573360705102	20
2.0	2	top_draggy	55.0	8.0	179.6852891516268	8
2.0	2	top_draggy	55.0	10.0	284.43138787791327	5
2.0	2	top_draggy	55.0	12.0	413.2787213651594	5
2.0	2	bottom_lifty	45.0	6.0	39.997359006102435	20
2.0	2	bottom_lifty	45.0	8.0	179.6655352600437	6
2.0	2	bottom_lifty	45.0	10.0	284.40284752597944	3
2.0	2	bottom_lifty	45.0	12.0	413.2199312246369	3
2.0	2	bottom_lifty	55.0	6.0	39.99573360705102	20
2.0	2	bottom_lifty	55.0	8.0	179.6852891516268	8
2.0	2	bottom_lifty	55.0	10.0	284.43138787791327	5
2.0	2	bottom_lifty	55.0	12.0	413.2787213651594	5
2.0	2	graded	45.0	6.0	39.997359006102435	20
2.0	2	graded	45.0	8.0	179.6655352600437	6
2.0	2	graded	45.0	10.0	284.40284752597944	3
2.0	2	graded	45.0	12.0	413.2199312246369	3
2.0	2	graded	55.0	6.0	39.99573360705102	20
2.0	2	graded	55.0	8.0	179.6852891516268	8
2.0	2	graded	55.0	10.0	284.43138787791327	5
2.0	2	graded	55.0	12.0	413.2787213651594	5
2.0	3	uniform	45.0	6.0	79.97596021426838	20
2.0	3	uniform	45.0	8.0	269.5260172585795	6
2.0	3	uniform	45.0	10.0	426.5398391817823	3
2.0	3	uniform	45.0	12.0	619.9789469955007	3
2.0	3	uniform	55.0	6.0	79.97539082524517	20
